1,TESTMOUSE1,00782B192268,1,1,LEFT,06-Jun-2018,10:57:35,06-Jun-2018,10:57:50
2,TESTMOUSE1,00782B192268,4,1,LEFT,06-Jun-2018,10:58:31,06-Jun-2018,10:59:05
3,TESTMOUSE1,00782B192268,4,1,LEFT,06-Jun-2018,10:59:54,06-Jun-2018,11:00:32
4,TESTMOUSE1,00782B192268,1,1,LEFT,06-Jun-2018,11:08:53,06-Jun-2018,11:09:03
5,TESTMOUSE1,00782B192268,1,1,LEFT,06-Jun-2018,11:09:43,06-Jun-2018,11:09:57
6,TESTMOUSE1,00782B192268,1,1,LEFT,06-Jun-2018,11:28:03,06-Jun-2018,11:28:20
7,TESTMOUSE1,00782B192268,1,1,LEFT,06-Jun-2018,11:28:43,06-Jun-2018,11:28:56
8,TESTMOUSE1,00782B192268,0,1,LEFT,06-Jun-2018,11:29:24,06-Jun-2018,11:29:33
9,TESTMOUSE1,00782B192268,1,1,LEFT,06-Jun-2018,11:34:37,06-Jun-2018,11:34:51
10,TESTMOUSE1,00782B192268,0,1,LEFT,06-Jun-2018,11:34:58,06-Jun-2018,11:35:03
11,TESTMOUSE1,00782B192268,0,1,LEFT,06-Jun-2018,11:35:09,06-Jun-2018,11:35:15
12,TESTMOUSE1,00782B192268,2,1,LEFT,06-Jun-2018,13:14:33,06-Jun-2018,13:14:52
13,TESTMOUSE1,00782B192268,2,1,LEFT,06-Jun-2018,13:14:53,06-Jun-2018,13:15:13
14,TESTMOUSE1,00782B192268,1,1,LEFT,06-Jun-2018,13:15:52,06-Jun-2018,13:16:05
15,TESTMOUSE1,00782B192268,0,1,LEFT,06-Jun-2018,13:16:39,06-Jun-2018,13:16:45
16,TESTMOUSE1,00782B192268,0,1,LEFT,06-Jun-2018,13:18:33,06-Jun-2018,13:18:42
17,TESTMOUSE1,00782B192268,0,1,LEFT,06-Jun-2018,13:18:42,06-Jun-2018,13:18:50
18,TESTMOUSE1,00782B192268,0,1,LEFT,06-Jun-2018,13:19:00,06-Jun-2018,13:19:05
19,TESTMOUSE1,00782B192268,0,1,LEFT,06-Jun-2018,13:30:33,06-Jun-2018,13:30:42
