1,45567_MOUSE3,00782B19BCF6,0,1,LEFT,21-Jun-2018,10:40:51,21-Jun-2018,10:40:57
2,45567_MOUSE3,00782B19BCF6,0,1,LEFT,21-Jun-2018,10:41:00,21-Jun-2018,10:41:08
3,45567_MOUSE3,00782B19BCF6,0,1,LEFT,21-Jun-2018,10:52:29,21-Jun-2018,10:52:35
4,45567_MOUSE3,00782B19BCF6,0,1,LEFT,21-Jun-2018,11:04:30,21-Jun-2018,11:04:36
5,45567_MOUSE3,00782B19BCF6,0,1,LEFT,21-Jun-2018,11:08:12,21-Jun-2018,11:08:18
6,45567_MOUSE3,00782B19BCF6,0,1,LEFT,22-Jun-2018,09:26:26,22-Jun-2018,09:26:33
7,45567_MOUSE3,00782B19BCF6,0,1,LEFT,22-Jun-2018,09:26:41,22-Jun-2018,09:26:47
8,45567_MOUSE3,00782B19BCF6,0,1,LEFT,22-Jun-2018,09:26:47,22-Jun-2018,09:26:53
9,45567_MOUSE3,00782B19BCF6,GETPEL,1,LEFT,22-Jun-2018,09:27:48,22-Jun-2018,09:28:06
10,45567_MOUSE3,00782B19BCF6,GETPEL,5,LEFT,22-Jun-2018,09:49:02,22-Jun-2018,09:49:18
11,45567_MOUSE3,00782B19BCF6,0,5,LEFT,22-Jun-2018,09:53:03,22-Jun-2018,09:53:12
12,45567_MOUSE3,00782B19BCF6,0,5,LEFT,22-Jun-2018,09:54:01,22-Jun-2018,09:54:06
13,45567_MOUSE3,00782B19BCF6,GETPEL,5,LEFT,22-Jun-2018,09:54:32,22-Jun-2018,09:54:50
14,45567_MOUSE3,00782B19BCF6,0,5,LEFT,22-Jun-2018,10:01:08,22-Jun-2018,10:01:14
15,45567_MOUSE3,00782B19BCF6,GETPEL,5,LEFT,22-Jun-2018,10:01:14,22-Jun-2018,10:01:30
16,45567_MOUSE3,00782B19BCF6,GETPEL,5,LEFT,22-Jun-2018,10:02:02,22-Jun-2018,10:02:18
17,45567_MOUSE3,00782B19BCF6,0,6,LEFT,22-Jun-2018,10:09:27,22-Jun-2018,10:09:37
18,45567_MOUSE3,00782B19BCF6,GETPEL,6,LEFT,22-Jun-2018,10:09:52,22-Jun-2018,10:10:04
19,45567_MOUSE3,00782B19BCF6,0,6,LEFT,22-Jun-2018,10:13:47,22-Jun-2018,10:13:53
20,45567_MOUSE3,00782B19BCF6,0,6,LEFT,22-Jun-2018,10:13:53,22-Jun-2018,10:13:59
21,45567_MOUSE3,00782B19BCF6,GETPEL,6,LEFT,22-Jun-2018,10:13:59,22-Jun-2018,10:14:20
22,45567_MOUSE3,00782B19BCF6,GETPEL,6,LEFT,22-Jun-2018,10:14:20,22-Jun-2018,10:14:42
23,45567_MOUSE3,00782B19BCF6,GETPEL,6,LEFT,22-Jun-2018,10:14:42,22-Jun-2018,10:15:08
24,45567_MOUSE3,00782B19BCF6,0,6,LEFT,22-Jun-2018,10:15:10,22-Jun-2018,10:15:16
25,45567_MOUSE3,00782B19BCF6,GETPEL,6,LEFT,22-Jun-2018,10:15:48,22-Jun-2018,10:16:09
26,45567_MOUSE3,00782B19BCF6,GETPEL,6,LEFT,22-Jun-2018,10:16:14,22-Jun-2018,10:16:42
27,45567_MOUSE3,00782B19BCF6,GETPEL,6,LEFT,22-Jun-2018,10:16:49,22-Jun-2018,10:17:09
28,45567_MOUSE3,00782B19BCF6,0,6,LEFT,22-Jun-2018,10:21:24,22-Jun-2018,10:21:30
29,45567_MOUSE3,00782B19BCF6,GETPEL,6,LEFT,22-Jun-2018,10:21:30,22-Jun-2018,10:21:43
